01 Argentina
02 Australia
03 Austria
04 Belgium
05 Bermuda
06 Brazil
07 Canada
08 Chile
09 China
10 Columbia
11 CookIslands
12 CostaRica
13 CzechRepublic
14 Denmark
15 DominicanRepub
16 Finland
17 France
18 Germany
19 GreatBritain
20 Greece
21 Guatemala
22 Hungary
23 India
24 Indonesia
25 Ireland
26 Israel
27 Italy
28 Japan
29 Kenya
30 SouthKorea
31 NorthKorea
32 Luxembourg
33 Malaysia
34 Mauritius
35 Mexico
36 Myanmar
37 Netherlands
38 NewZealand
39 Norway
40 PapuaNewGuinea
41 Philippines
42 Poland
43 Portugal
44 Romania
45 Russia
46 Samoa
47 Singapore
48 Spain
49 Sweden
50 Switzerland
51 Taiwan
52 Thailand
53 Turkey
54 USA
